name,email,date_of_birth,mobile_no,first_name,last_name,above_18,membership_id
Patty Smith,Patty_Smith@ross.com,19750827,59428759,Patty,Smith,True,Smith_c7677
Sean Wang DDS,Sean_Wang@gibson-calderon.com,,25595367,Sean,Wang DDS,False,Wang DDS_9b2d5
Richard Estrada,Richard_Estrada@malone.com,,22821527,Richard,Estrada,False,Estrada_9b2d5
Jackson Cline,Jackson_Cline@hudson.net,,48056519,Jackson,Cline,False,Cline_9b2d5
Allen Williams,Allen_Williams@sanchez.net,,77991519,Allen,Williams,False,Williams_9b2d5
Eric Flores,Eric_Flores@dillon-patterson.com,19820701,36641663,Eric,Flores,True,Flores_8a42c
Anna Richardson,Anna_Richardson@perry.com,,64083047,Anna,Richardson,False,Richardson_9b2d5
Taylor Gomez,Taylor_Gomez@johnston.com,,24007567,Taylor,Gomez,False,Gomez_9b2d5
Jeremy Rodriguez,Jeremy_Rodriguez@roth.com,,32567967,Jeremy,Rodriguez,False,Rodriguez_9b2d5
April Garcia,April_Garcia@hall.com,,24650447,April,Garcia,False,Garcia_9b2d5
Sharon Garza,Sharon_Garza@duran.com,20020830,59411567,Sharon,Garza,True,Garza_40199
Lori Sanchez,Lori_Sanchez@hardin-warner.net,,76989167,Lori,Sanchez,False,Sanchez_9b2d5
Jason Armstrong,Jason_Armstrong@curtis.com,,68514503,Jason,Armstrong,False,Armstrong_9b2d5
Jessica Allison,Jessica_Allison@harper.com,,66821135,Jessica,Allison,False,Allison_9b2d5
Arthur Hall MD,Arthur_Hall@gonzalez.com,19941103,65493407,Arthur,Hall MD,True,Hall MD_b302a
Sherry Meza,Sherry_Meza@west.com,19970904,33491119,Sherry,Meza,True,Meza_af7be
Matthew Turner,Matthew_Turner@martinez.com,,73291455,Matthew,Turner,False,Turner_9b2d5
Sophia Randolph,Sophia_Randolph@leonard-ramirez.com,,94510479,Sophia,Randolph,False,Randolph_9b2d5
Samuel Thompson,Samuel_Thompson@sanchez-carroll.com,19840403,99063183,Samuel,Thompson,True,Thompson_16040
Zachary Lee,Zachary_Lee@smith.com,,36447751,Zachary,Lee,False,Lee_9b2d5
Kara Pittman,Kara_Pittman@gomez-vaughn.com,19680525,80502567,Kara,Pittman,True,Pittman_44c4d
Gabriella Anthony,Gabriella_Anthony@castro.com,,89108943,Gabriella,Anthony,False,Anthony_9b2d5
Misty Cantrell,Misty_Cantrell@flores-decker.com,,79619831,Misty,Cantrell,False,Cantrell_9b2d5
Kelly Guerrero,Kelly_Guerrero@riggs.com,,53052583,Kelly,Guerrero,False,Guerrero_9b2d5
David Nichols,David_Nichols@rocha.com,19620819,62269575,David,Nichols,True,Nichols_9226a
Shawn Galloway,Shawn_Galloway@johnston.com,,17471367,Shawn,Galloway,False,Galloway_9b2d5
Dennis Sanford,Dennis_Sanford@lopez-archer.com,,88084407,Dennis,Sanford,False,Sanford_9b2d5
Amanda Murphy,Amanda_Murphy@bright-gibbs.net,,30501351,Amanda,Murphy,False,Murphy_9b2d5
Bobby Martin,Bobby_Martin@jackson.com,20000331,43871143,Bobby,Martin,True,Martin_35f44
Vernon Bishop,Vernon_Bishop@clark-larson.com,,78396487,Vernon,Bishop,False,Bishop_9b2d5
Phillip Meyers,Phillip_Meyers@mcneil-williams.com,19601022,95409119,Phillip,Meyers,True,Meyers_2871d
Robert Martin,Robert_Martin@crawford.com,19500718,78547615,Robert,Martin,True,Martin_6f48d
William Taylor,William_Taylor@warner-morgan.net,,42996791,William,Taylor,False,Taylor_9b2d5
Michael Brady,Michael_Brady@wells-sanders.com,,65342263,Michael,Brady,False,Brady_9b2d5
